date,tmax,tmin,tavg
1/1/19,60,40,50
2/1/19,41,35,38
3/1/19,45,39,42
4/1/19,47,37,42
5/1/19,47,42,44.5
6/1/19,49,32,40.5
7/1/19,35,26,30.5
8/1/19,47,-22,41
9/1/19,46,35,40.5
10/1/19,22.7,30,32.5
11/1/19,32,22,27
12/1/19,19,21,27.5
13/1/19,33,25,29
14/1/19,35,22,28.5
15/1/19,36,26,31
16/1/19,40,31,35.5
17/1/19,34,26,30
18/1/19,42,29,35.5
19/1/19,39,32,35.5
20/1/19,40,16,28
21/1/19,16,5,10.5
22/1/19,31,14,22.5
23/1/19,47,30,38.5
24/1/19,57,35,46
25/1/19,40,29,34.5
26/1/19,35,25,30
27/1/19,49,29,39
28/1/19,39,25,32
29/1/19,44,25,34.5
30/1/19,36,7,21.5
31/1/19,17,3,10
1/2/19,22,12,17
2/2/19,35,18,26.5
3/2/19,52,31,41.5
4/2/19,59,36,47.5
5/2/19,65,36,50.5
6/2/19,46,35,40.5
7/2/19,44,37,40.5
8/2/19,55,33,44
9/2/19,33,24,28.5
10/2/19,36,24,30
11/2/19,37,31,34
12/2/19,35,26,30.5
13/2/19,42,33,37.5
14/2/19,46,33,39.5
15/2/19,56,41,48.5
16/2/19,46,32,39
17/2/19,37,26,31.5
18/2/19,42,26,34
19/2/19,36,24,30
20/2/19,32,26,29
21/2/19,52,32,42
22/2/19,43,37,40
23/2/19,39,32,35.5
24/2/19,47,35,41
25/2/19,43,28,35.5
26/2/19,37,25,31
27/2/19,29,23,26
28/2/19,36,26,31
1/3/19,36,25,30.5
2/3/19,41,30,35.5
3/3/19,43,32,37.5
4/3/19,39,28,33.5
5/3/19,32,21,26.5
6/3/19,27,19,23
7/3/19,33,19,26
8/3/19,38,24,31
9/3/19,47,34,40.5
10/3/19,44,34,39
11/3/19,53,39,46
12/3/19,43,34,38.5
13/3/19,46,32,39
14/3/19,57,41,49
15/3/19,72,48,60
16/3/19,59,37,48
17/3/19,45,34,39.5
18/3/19,46,33,39.5
19/3/19,49,36,42.5
20/3/19,51,37,44
21/3/19,45,40,42.5
22/3/19,49,38,43.5
23/3/19,48,35,41.5
24/3/19,60,38,49
25/3/19,58,42,50
